asset_name,source_uri,source_name,edge_pcode,edge_name,target_uri,target_name,source_weight,target_weight
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q1084,Noun,P461,opposite of,http://www.wikidata.org/wiki/Q24905,Verb,3,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q466707,Usefulness,P31,instance of,http://www.wikidata.org/wiki/Q113159214,Importance,3,3
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q111724629,Deserve,P279,subclass of,http://www.wikidata.org/wiki/Q3423340,Regard,1,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q111724629,Deserve,P279,subclass of,http://www.wikidata.org/wiki/Q113159214,Importance,1,3
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q211364,Principles,P361,part of,http://www.wikidata.org/wiki/Q9332,Behavior,1,4
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q9332,Behavior,P527,has part,http://www.wikidata.org/wiki/Q211364,Principles,4,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q230037,Rules,P527,has part,http://www.wikidata.org/wiki/Q194112,Values,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q194112,Values,P361,part of,http://www.wikidata.org/wiki/Q230037,Rules,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q230037,Rules,P361,part of,http://www.wikidata.org/wiki/Q194112,Values,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q194112,Values,P527,has part,http://www.wikidata.org/wiki/Q230037,Rules,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q1368,Monetary,P2579,studied by,http://www.wikidata.org/wiki/Q791801,Estimate,2,5
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q791801,Estimate,pcode,studies,http://www.wikidata.org/wiki/Q1368,Monetary,5,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q113159214,Important,P460,said to be the same as,http://www.wikidata.org/wiki/Q61794268,Beneficial,2,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q61794268,Beneficial,P460,said to be the same as,http://www.wikidata.org/wiki/Q113159214,Important,1,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q188728,Privacy,P1269,facet of,http://www.wikidata.org/wiki/Q485396,Analytics,1,14
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P460,said to be the same as,http://www.wikidata.org/wiki/Q466707,Usefulness,14,3
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q466707,Usefulness,P460,said to be the same as,http://www.wikidata.org/wiki/Q485396,Analytics,3,14
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q484275,Leaders,P361,part of,http://www.wikidata.org/wiki/Q43229,Organization,2,13
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P361,part of,http://www.wikidata.org/wiki/Q43015,Finance,14,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q194189,Sales,pcode,studies,http://www.wikidata.org/wiki/Q1277907,Market,2,3
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q1277907,Market,P2579,studied by,http://www.wikidata.org/wiki/Q194189,Sales,3,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q143636,Anecdotal,pcode,replaced by,http://www.wikidata.org/wiki/Q791801,Estimated,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q791801,Estimated,pcode,replaces,http://www.wikidata.org/wiki/Q143636,Anecdotal,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,P361,part of,http://www.wikidata.org/wiki/Q4830453,Business,10,4
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q4830453,Business,P527,has part,http://www.wikidata.org/wiki/Q2374463,Data science,4,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q438267,Roi,P1269,facet of,http://www.wikidata.org/wiki/Q39809,Marketing,2,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q39809,Marketing,P527,has part,http://www.wikidata.org/wiki/Q425520,Channels,2,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q425520,Channels,P361,part of,http://www.wikidata.org/wiki/Q39809,Marketing,1,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P361,part of,http://www.wikidata.org/wiki/Q16502,World,14,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P279,subclass of,http://www.wikidata.org/wiki/Q2374463,Data science,14,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,pcode,studies,http://www.wikidata.org/wiki/Q791801,Estimation,10,3
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q791801,Estimation,P2579,studied by,http://www.wikidata.org/wiki/Q2374463,Data science,3,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q730920,Problem,P279,subclass of,http://www.wikidata.org/wiki/Q146654,Solving,6,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,P527,has part,http://www.wikidata.org/wiki/Q11751563,Quantification,10,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q11751563,Quantification,P361,part of,http://www.wikidata.org/wiki/Q2374463,Data science,1,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q37038,Adverts,P361,part of,http://www.wikidata.org/wiki/Q39809,Marketing,1,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q37038,Adverts,P31,instance of,http://www.wikidata.org/wiki/Q39809,Marketing,1,2
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q367359,Controlled experiment,P279,subclass of,http://www.wikidata.org/wiki/Q791801,Estimation,1,3
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q160402,Perception,P1269,facet of,http://www.wikidata.org/wiki/Q3962655,Opinion,4,4
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q160402,Perception,P361,part of,http://www.wikidata.org/wiki/Q178561,Battle,4,3
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q160402,Perception,P361,part of,http://www.wikidata.org/wiki/Q4830453,Business,4,4
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q5164758,Consumption,P1269,facet of,http://www.wikidata.org/wiki/Q2374463,Data science,2,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,pcode,field of work,http://www.wikidata.org/wiki/Q2374463,Data science,14,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,P279,subclass of,http://www.wikidata.org/wiki/Q485396,Analytics,10,14
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P361,part of,http://www.wikidata.org/wiki/Q2374463,Data science,14,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,P527,has part,http://www.wikidata.org/wiki/Q485396,Analytics,10,14
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P527,has part,http://www.wikidata.org/wiki/Q2374463,Data science,14,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,P361,part of,http://www.wikidata.org/wiki/Q485396,Analytics,10,14
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q788331,Functions,P361,part of,http://www.wikidata.org/wiki/Q43229,Organization,3,13
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q43229,Organization,P527,has part,http://www.wikidata.org/wiki/Q788331,Functions,13,3
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P1269,facet of,http://www.wikidata.org/wiki/Q2374463,Data science,14,10
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q484275,Leadership,P361,part of,http://www.wikidata.org/wiki/Q4830453,Business,1,4
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q4830453,Business,P527,has part,http://www.wikidata.org/wiki/Q484275,Leadership,4,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q1307600,Experiential learning,P279,subclass of,http://www.wikidata.org/wiki/Q292995,Competency,1,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,pcode,studies,http://www.wikidata.org/wiki/Q42848,Data,9,24
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q42848,Data,P2579,studied by,http://www.wikidata.org/wiki/Q2374463,Data science,24,9
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q2539,Machine learning,P361,part of,http://www.wikidata.org/wiki/Q2374463,Data science,2,9
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q2539,Machine learning,pcode,studies,http://www.wikidata.org/wiki/Q42848,Data,2,24
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q88480,Moat,P279,subclass of,http://www.wikidata.org/wiki/Q1150207,Competitive advantage,1,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q1796457,Product,P361,part of,http://www.wikidata.org/wiki/Q4830453,Business,21,3
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q1043226,Product design,P361,part of,http://www.wikidata.org/wiki/Q11023,Engineering,1,3
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q652965,Mvp,P279,subclass of,http://www.wikidata.org/wiki/Q651022,Iterative,1,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q415760,Lifecycle,P1269,facet of,http://www.wikidata.org/wiki/Q7397,Software product,1,2
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q224161,Chaos,pcode,publisher,http://www.wikidata.org/wiki/Q451210,Standish,1,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q5295586,Done,P279,subclass of,http://www.wikidata.org/wiki/Q774228,Requirements,4,3
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q774228,Requirements,P361,part of,http://www.wikidata.org/wiki/Q5295586,Done,3,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q99298406,Priorities,P1269,facet of,http://www.wikidata.org/wiki/Q340724,Development,3,3
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q11024,Communication,P527,has part,http://www.wikidata.org/wiki/Q7597144,Stakeholders,1,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q7597144,Stakeholders,P361,part of,http://www.wikidata.org/wiki/Q11024,Communication,1,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q827792,Quality control,P279,subclass of,http://www.wikidata.org/wiki/Q229289,Process,1,5
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q827792,Quality control,P1269,facet of,http://www.wikidata.org/wiki/Q170584,Project,1,11
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q2297847,Deliverables,P361,part of,http://www.wikidata.org/wiki/Q357662,Work in progress,2,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q357662,Work in progress,P527,has part,http://www.wikidata.org/wiki/Q2297847,Deliverables,1,2
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q133500,Learning,P1542,has effect,http://www.wikidata.org/wiki/Q164359,Experience,4,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q164359,Experience,P828,has cause,http://www.wikidata.org/wiki/Q133500,Learning,1,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q393742,Agile,P31,instance of,http://www.wikidata.org/wiki/Q1339824,Mindset,35,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q1395034,Product development,P361,part of,http://www.wikidata.org/wiki/Q393742,Agile,1,35
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q41719,Hypothesis,P361,part of,http://www.wikidata.org/wiki/Q217602,Analysis,2,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q41719,Hypothesis,P2579,studied by,http://www.wikidata.org/wiki/Q2374463,Data science,2,9
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,pcode,studies,http://www.wikidata.org/wiki/Q41719,Hypothesis,9,2
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q60596709,Data engineering,P361,part of,http://www.wikidata.org/wiki/Q7247761,Product engineering,1,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q7247761,Product engineering,P527,has part,http://www.wikidata.org/wiki/Q60596709,Data engineering,1,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,P527,has part,http://www.wikidata.org/wiki/Q60596709,Data engineering,9,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q1979154,Models,P361,part of,http://www.wikidata.org/wiki/Q2374463,Data science,1,9
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q42848,Data,P279,subclass of,http://www.wikidata.org/wiki/Q1796457,Product,24,21
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q2539,Machine learning,P361,part of,http://www.wikidata.org/wiki/Q12483,Statistical,2,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q393742,Agile,P527,has part,http://www.wikidata.org/wiki/Q4949099,Bottom up,35,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q4949099,Bottom up,P361,part of,http://www.wikidata.org/wiki/Q393742,Agile,1,35
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q233320,Scaffolding,P361,part of,http://www.wikidata.org/wiki/Q30232,Agile framework,1,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q30232,Agile framework,P279,subclass of,http://www.wikidata.org/wiki/Q1289773,Framework,4,6
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q30232,Agile framework,P279,subclass of,http://www.wikidata.org/wiki/Q1289773,Frameworks,4,6
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q395820,Scrum,P31,instance of,http://www.wikidata.org/wiki/Q30232,Agile framework,4,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q18979,Kanban,P31,instance of,http://www.wikidata.org/wiki/Q30232,Agile framework,4,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q395820,Scrum,P31,instance of,http://www.wikidata.org/wiki/Q1289773,Frameworks,4,6
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q18979,Kanban,P31,instance of,http://www.wikidata.org/wiki/Q1289773,Frameworks,4,6
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q395820,Scrum,P279,subclass of,http://www.wikidata.org/wiki/Q393742,Agile,4,35
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q18979,Kanban,P366,use,http://www.wikidata.org/wiki/Q393742,Agile,4,35
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q395820,Scrum,P460,said to be the same as,http://www.wikidata.org/wiki/Q1421125,Sprints,4,2
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q1421125,Sprints,P460,said to be the same as,http://www.wikidata.org/wiki/Q395820,Scrum,2,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q395820,Scrum,pcode,has parts of the class,http://www.wikidata.org/wiki/Q1421125,Sprints,4,2
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q1421125,Sprints,P361,part of,http://www.wikidata.org/wiki/Q395820,Scrum,2,4
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q395820,Scrum,P3095,practiced by,http://www.wikidata.org/wiki/Q460387,Product owner,4,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q18979,Kanban,P366,use,http://www.wikidata.org/wiki/Q380772,Lean manufacturing,4,1
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q393742,Agile,P279,subclass of,http://www.wikidata.org/wiki/Q188561,Work,35,20
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q393742,Agile,P527,has part,http://www.wikidata.org/wiki/Q15614918,That,35,14
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q15614918,That,P361,part of,http://www.wikidata.org/wiki/Q393742,Agile,14,35
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q393742,Agile,P3095,practiced by,http://www.wikidata.org/wiki/Q327245,Team,35,15
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q327245,Team,P425,field of this occupation,http://www.wikidata.org/wiki/Q393742,Agile,15,35
201906_Agile for Data Science.pdf,http://www.wikidata.org/wiki/Q395820,Scrum,P277,programming language,http://www.wikidata.org/wiki/Q18979,Kanban,4,4
201909_Confessions of a Data Product.pdf,http://www.wikidata.org/wiki/Q174198,Gartner,pcode,field of work,http://www.wikidata.org/wiki/Q485396,Analytics,1,12
201909_Confessions of a Data Product.pdf,http://www.wikidata.org/wiki/Q438267,Roi,P1269,facet of,http://www.wikidata.org/wiki/Q485396,Analytics,1,12
201909_Confessions of a Data Product.pdf,http://www.wikidata.org/wiki/Q7444820,Secure,P279,subclass of,http://www.wikidata.org/wiki/Q727490,Scalable,3,2
201909_Confessions of a Data Product.pdf,http://www.wikidata.org/wiki/Q11023,Engineering,P527,has part,http://www.wikidata.org/wiki/Q485396,Analytics,3,12
201909_Confessions of a Data Product.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P361,part of,http://www.wikidata.org/wiki/Q11023,Engineering,12,3
