asset_name,source_uri,source_name,edge_pcode,edge_name,target_uri,target_name,source_weight,target_weight
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/standards_of_behavior,Standards of behavior,P460,said to be the same as,http://www.wikidata.org/wiki/Q211364,Principles,1,1
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/sales_organization,Sales organization,P425,field of this occupation,http://www.wikidata.org/wiki/Q194189,Sales,1,2
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/estimate_value,Estimate value,P2579,studied by,http://www.wikidata.org/wiki/Q2374463,Data science,1,10
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/tried_and_tested,Tried and tested,P279,subclass of,http://www.wikidata.org/wiki/Q5156049,Compartmentalization,1,1
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/tried_and_tested,Tried and tested,P1269,facet of,http://www.wikidata.org/wiki/Q5156049,Compartmentalization,1,1
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/quantified,Quantified,pcode,studies,http://www.wikidata.org/wiki/Q3454688,Cost saving,1,1
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/own_decisions,Own decisions,P279,subclass of,http://www.wikidata.org/wiki/Q973405,Decisions,2,2
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/descriptive_problem,Descriptive problem,P279,subclass of,http://www.wikidata.org/wiki/Q2374463,Data science,1,10
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/INFLUENCING_REGARD,Influencing regard,P527,has part,http://www.wikidata.org/wiki/Q3962655,Opinion,1,4
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/loss_of_context,Loss of context,P828,has cause,http://www.wikidata.org/wiki/Q758254,Attrition,1,1
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/skill_shortage,Skill shortage,P828,has cause,http://www.wikidata.org/wiki/Q758254,Attrition,1,1
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/ANALYTICS_value,Analytics value,P921,main subject,http://www.wikidata.org/wiki/Q485396,Analytics,1,14
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/standard_of_behavior,Standard of behavior,P279,subclass of,http://www.wikidata.org/wiki/Q3962655,Opinion,2,4
201905_Value of Analytics.pdf,http://www.themathcompany.com/cognition/Head_of_Assets,Head of assets,P279,subclass of,http://www.wikidata.org/wiki/Q1551855,Founder,1,2
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Data_moat,Data moat,P279,subclass of,http://www.wikidata.org/wiki/Q1150207,Competitive advantage,1,1
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Failing_to_deliver,Failing to deliver,P31,instance of,http://www.wikidata.org/wiki/Q415760,Lifecycle,1,1
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/reasons_why_projects_can_fail,Reasons why projects can fail,P1269,facet of,http://www.wikidata.org/wiki/Q170584,Project,1,11
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/unrealistic_values,Unrealistic values,P279,subclass of,http://www.wikidata.org/wiki/Q343285,Deadline,1,1
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_to_the_rescue,Agile to the rescue,P1269,facet of,http://www.wikidata.org/wiki/Q393742,Agile,1,35
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/development_team,Development team,P527,has part,http://www.wikidata.org/wiki/Q2552738,Product manager,1,1
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Continuous_learning,Continuous learning,P279,subclass of,http://www.wikidata.org/wiki/Q133500,Learning,1,4
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/goal_sheet,Goal sheet,P1269,facet of,http://www.wikidata.org/wiki/Q393742,Agile,1,35
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/iteratively_improving,Iteratively improving,P361,part of,http://www.wikidata.org/wiki/Q393742,Agile,1,35
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_Data_Science,Agile data science,P279,subclass of,http://www.wikidata.org/wiki/Q2374463,Data science,3,9
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_Data_science,Agile data science,P279,subclass of,http://www.wikidata.org/wiki/Q2374463,Data science,3,9
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/failed_experiment,Failed experiment,P279,subclass of,http://www.wikidata.org/wiki/Q651022,Iteration,1,2
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/intermediate_output,Intermediate output,P279,subclass of,http://www.wikidata.org/wiki/Q651022,Iteration,1,2
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_frameworks,Agile frameworks,P366,use,http://www.wikidata.org/wiki/Q393742,Agile,4,35
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/team_effort,Team effort,P1535,used by,http://www.wikidata.org/wiki/Q393742,Agile,1,35
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_Data_Science_Cycle,Agile data science cycle,P366,use,http://www.wikidata.org/wiki/Q393742,Agile,1,35
201906_Agile for Data Science.pdf,http://www.themathcompany.com/cognition/Agile_Data_Science_Cycle,Agile data science cycle,P31,instance of,http://www.wikidata.org/wiki/Q225014,Cycle,1,3
201909_Confessions of a Data Product.pdf,http://www.themathcompany.com/cognition/Confessions_of_a_Data_Product,Confessions of a data product,pcode,publisher,http://www.wikidata.org/wiki/Q5513171,Genesis,1,1
