asset_name,source_uri,source_name,edge_pcode,edge_name,target_uri,target_name,source_weight,target_weight
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q211364,Principles,P460,said to be the same as,http://www.themathcompany.com/cognition/standards_of_behavior,Standards of behavior,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q194189,Sales,P3095,practiced by,http://www.themathcompany.com/cognition/sales_organization,Sales organization,2,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q466707,Usefulness,P31,instance of,http://www.themathcompany.com/cognition/estimation_of_worth,Estimation of worth,3,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q466707,Usefulness,P279,subclass of,http://www.themathcompany.com/cognition/estimation_of_worth,Estimation of worth,3,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q2374463,Data science,pcode,studies,http://www.themathcompany.com/cognition/estimate_value,Estimate value,10,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q3454688,Cost saving,P2579,studied by,http://www.themathcompany.com/cognition/quantified,Quantified,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q367359,Controlled experiment,P279,subclass of,http://www.themathcompany.com/cognition/estimate_impact,Estimate impact,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q3962655,Opinion,P361,part of,http://www.themathcompany.com/cognition/INFLUENCING_REGARD,Influencing regard,4,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q758254,Attrition,P1542,has effect,http://www.themathcompany.com/cognition/loss_of_context,Loss of context,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q758254,Attrition,P1542,has effect,http://www.themathcompany.com/cognition/skill_shortage,Skill shortage,1,1
201905_Value of Analytics.pdf,http://www.wikidata.org/wiki/Q485396,Analytics,P921,main subject,http://www.themathcompany.com/cognition/ANALYTICS_value,Analytics value,14,1
